get key time: 0.00132608 s, token_id len: 10, device: disk
get key time: 0.00142151 s, token_id len: 10, device: disk
get key time: 0.00182601 s, token_id len: 10, device: disk
get key time: 0.00136999 s, token_id len: 10, device: disk
get key time: 0.00972980 s, token_id len: 10, device: disk
get key time: 0.00151752 s, token_id len: 10, device: disk
get key time: 0.00149813 s, token_id len: 10, device: disk
get key time: 0.00154692 s, token_id len: 10, device: disk
get key time: 0.00903408 s, token_id len: 10, device: disk
get key time: 0.00139639 s, token_id len: 10, device: disk
get key time: 0.00137974 s, token_id len: 10, device: disk
get key time: 0.00156252 s, token_id len: 10, device: disk
get key time: 0.00957148 s, token_id len: 10, device: disk
get key time: 0.00387338 s, token_id len: 10, device: disk
get key time: 0.01669860 s, token_id len: 10, device: disk
get key time: 0.00310055 s, token_id len: 10, device: disk
get key time: 0.00153088 s, token_id len: 10, device: disk
get key time: 0.00131004 s, token_id len: 10, device: disk
get key time: 0.00142644 s, token_id len: 10, device: disk
get key time: 0.01059059 s, token_id len: 10, device: disk
get key time: 0.00161086 s, token_id len: 10, device: disk
get key time: 0.00159435 s, token_id len: 10, device: disk
get key time: 0.00155095 s, token_id len: 10, device: disk
get key time: 0.01001980 s, token_id len: 10, device: disk
get key time: 0.00151479 s, token_id len: 10, device: disk
get key time: 0.00164657 s, token_id len: 10, device: disk
get key time: 0.00575738 s, token_id len: 10, device: disk
get key time: 0.00139182 s, token_id len: 10, device: disk
get key time: 0.01297351 s, token_id len: 10, device: disk
get key time: 0.00725882 s, token_id len: 10, device: disk
get key time: 0.00124869 s, token_id len: 10, device: disk
get key time: 0.00153392 s, token_id len: 10, device: disk
get key time: 0.00141283 s, token_id len: 10, device: disk
get key time: 0.00138867 s, token_id len: 10, device: disk
get key time: 0.01618755 s, token_id len: 10, device: disk
get key time: 0.00157263 s, token_id len: 10, device: disk
get key time: 0.00387522 s, token_id len: 10, device: disk
get key time: 0.00124982 s, token_id len: 10, device: disk
get key time: 0.00137873 s, token_id len: 10, device: disk
get key time: 0.00471442 s, token_id len: 10, device: disk
get key time: 0.00130891 s, token_id len: 10, device: disk
get key time: 0.00148156 s, token_id len: 10, device: disk
get key time: 0.00155607 s, token_id len: 10, device: disk
get key time: 0.00645502 s, token_id len: 10, device: disk
get key time: 0.00797610 s, token_id len: 10, device: disk
get key time: 0.00152579 s, token_id len: 10, device: disk
get key time: 0.00119915 s, token_id len: 10, device: disk
get key time: 0.00127285 s, token_id len: 10, device: disk
get key time: 0.00626368 s, token_id len: 10, device: disk
get key time: 0.00142601 s, token_id len: 10, device: disk
get key time: 0.00157343 s, token_id len: 10, device: disk
get key time: 0.00663344 s, token_id len: 10, device: disk
get key time: 0.00117617 s, token_id len: 10, device: disk
get key time: 0.00770216 s, token_id len: 10, device: disk
get key time: 0.00219923 s, token_id len: 46, device: disk
get key time: 0.00782029 s, token_id len: 56, device: disk
get key time: 0.00167724 s, token_id len: 56, device: disk
get key time: 0.00166853 s, token_id len: 55, device: disk
get key time: 0.00167229 s, token_id len: 55, device: disk
get key time: 0.00168050 s, token_id len: 52, device: disk
get key time: 0.00169647 s, token_id len: 56, device: disk
get key time: 0.00166283 s, token_id len: 50, device: disk
get key time: 0.00220040 s, token_id len: 60, device: disk
get key time: 0.00224429 s, token_id len: 54, device: disk
get key time: 0.00212071 s, token_id len: 54, device: disk
get key time: 0.00209773 s, token_id len: 54, device: disk
get key time: 0.00206242 s, token_id len: 54, device: disk
get key time: 0.00197477 s, token_id len: 54, device: disk
get key time: 0.00196469 s, token_id len: 54, device: disk
get key time: 0.00197815 s, token_id len: 54, device: disk
get key time: 0.00199339 s, token_id len: 54, device: disk
get key time: 0.00179680 s, token_id len: 54, device: disk
get key time: 0.00197810 s, token_id len: 54, device: disk
get key time: 0.00445223 s, token_id len: 54, device: disk
get key time: 0.00147021 s, token_id len: 20, device: disk
get key time: 0.00601567 s, token_id len: 23, device: disk
get key time: 0.00146111 s, token_id len: 10, device: disk
get key time: 0.00152129 s, token_id len: 5, device: disk
get key time: 0.00156978 s, token_id len: 8, device: disk
get key time: 0.00499057 s, token_id len: 8, device: disk
get key time: 0.00156940 s, token_id len: 10, device: disk
get key time: 0.01344062 s, token_id len: 9, device: disk
